,JoinCode,District,PLM,INC,StPoll,Final,Rating,RepWins
155,IN2,IN-2,26.099339999999998,22.6,16.92585839,25.031532089099997,Solid R,100.0%
156,IN3,IN-3,34.171170000000004,29.9,22.56742351,32.7909721219,Solid R,100.0%
157,IN4,IN-4,33.35265,29.1,21.95904044,31.978483403599995,Solid R,100.0%
158,IN5,IN-5,21.72354,15.9,12.20108311,19.6478111459,Solid R,100.0%
159,IN6,IN-6,36.744240000000005,31.9,24.1670859,35.124082071000004,Solid R,100.0%
160,IN7,IN-7,-36.96736,-42.4,-31.99158726,-39.0128544094,Solid D,0.0%
161,IN8,IN-8,35.82268,32.8,24.57624462,34.98226838779999,Solid R,100.0%
162,IN9,IN-9,30.11917,0.0,20.38222819,29.079747351099996,Solid R,100.0%
163,KS1,KS-1,34.44489,29.6,22.42603701,32.8190638369,Solid R,100.0%
164,KS2,KS-2,20.91362,16.3,12.32311696,19.355352102399998,Solid R,100.0%
165,KS3,KS-3,3.199989,-4.5,1.0,3.00899483,Lean R,71.8%
166,KS4,KS-4,27.530990000000003,21.7,16.59291222,25.4656747318,Solid R,100.0%
167,KY1,KY-1,43.407709999999994,42.7,31.72486295,43.57877913549999,Solid R,100.0%
168,KY2,KY-2,37.633309999999994,36.7,27.21644985,37.6940060965,Solid R,100.0%
169,KY3,KY-3,-20.47426,0.0,-17.31439219,-20.7098328111,Solid D,0.0%
170,KY4,KY-4,33.69741,32.5,24.07642503,33.6355159707,Solid R,100.0%
171,KY5,KY-5,59.78954,59.4,44.31955917,60.13557962729999,Solid R,100.0%
172,KY6,KY-6,13.11894,11.0,7.938180825,12.613246569249998,Solid R,100.0%
173,LA1,LA-1,40.22432,39.0,29.00107565,40.1661725985,Solid R,100.0%
174,LA2,LA-2,-55.676590000000004,-52.5,-40.92379431,-54.07041537389999,Solid D,0.0%
175,LA3,LA-3,42.79865,37.6,28.5350523,41.040551586999996,Solid R,100.0%
176,LA4,LA-4,33.837720000000004,24.1,18.99346475,30.110219077500002,Solid R,100.0%
177,LA5,LA-5,34.14235,29.7,22.44159551,32.6886054019,Solid R,100.0%
178,LA6,LA-6,22.77275,30.4,21.16819058,26.473244000199998,Solid R,100.0%
179,MA1,MA-1,-21.63849,-21.7,-17.12377379,-21.3424942151,Solid D,0.0%
180,MA2,MA-2,-29.77662,-30.8,-23.86894279,-29.912581925099996,Solid D,0.0%
181,MA3,MA-3,-26.280559999999998,-27.4,-21.28072247,-26.449561704299995,Solid D,0.0%
182,MA4,MA-4,-27.753729999999997,-28.5,-22.1691998,-27.766000962,Solid D,0.0%
183,MA5,MA-5,-49.79446,-51.1,-39.19429127,-50.0984571763,Solid D,0.0%
184,MA6,MA-6,-26.04362,-27.6,-21.36684326,-26.399623249399998,Solid D,0.0%
185,MA7,MA-7,-73.41786,-72.4,-55.66595646,-72.7799041574,Solid D,0.0%
186,MA8,MA-8,-34.05433,-35.5,-27.36384245,-34.3815863905,Solid D,0.0%
187,MA9,MA-9,-16.72963,-18.2,-14.26370602,-17.026883253799998,Solid D,0.0%
188,MD1,MD-1,25.06874,14.5,11.85023544,20.963970253599996,Solid R,100.0%
189,MD2,MD-2,-10.99566,-20.8,-14.98677956,-14.8568380964,Solid D,0.0%
190,MD3,MD-3,-14.18876,-25.5,-18.31962763,-18.704260264699997,Solid D,0.0%
191,MD4,MD-4,-74.8873,0.0,-61.11095149,-76.50358752809998,Solid D,0.0%
192,MD5,MD-5,-27.6208,-36.5,-27.01021873,-31.123826923699998,Solid D,0.0%
193,MD6,MD-6,0.9533374,-9.8,-6.5177698589999995,-3.2871926247099994,Lean D,27.9%
194,MD7,MD-7,-54.88766,-63.5,-47.48963028,-58.3400450932,Solid D,0.0%
195,MD8,MD-8,-52.800230000000006,-62.6,-46.63089836,-56.75742796840001,Solid D,0.0%
196,ME1,ME-1,-16.01526,-22.8,-16.951978,-18.59203702,Solid D,0.0%
197,ME2,ME-2,10.29927,-6.0,-8.0,0.12065690000000107,Tossup,51.0%
198,MI1,MI-1,23.755470000000003,19.8,14.87435277,22.486374311299997,Solid R,100.0%
199,MI2,MI-2,31.02191,28.2,21.06395557,30.2564270433,Solid R,100.0%
200,MI3,MI-3,-2.744693,-8.5,-6.280399581,-4.84848142089,Likely D,16.1%
201,MI4,MI-4,8.712607,3.9,2.965799612,7.04032702228,Solid R,98.2%
202,MI5,MI-5,27.442940000000004,24.2,18.09878167,26.488341152300002,Solid R,100.0%
203,MI6,MI-6,-21.13806,-26.7,-20.08705454,-23.2019558326,Solid D,0.0%
204,MI7,MI-7,3.487974,-0.5,-0.488296805,2.15742298455,Lean R,65.9%
205,MI8,MI-8,1.201374,-2.0,-1.741352711,0.20311240941000008,Tossup,52.8%
206,MI9,MI-9,33.46297,29.5,22.21856735,32.2134073715,Solid R,100.0%
207,MI10,MI-10,5.404607,0.0,6.0,7.540165289999999,Solid R,98.0%
208,MI11,MI-11,-14.860629999999999,-19.8,-14.95663473,-16.642574063699996,Solid D,0.0%
209,MI12,MI-12,-43.95626,-48.5,-36.74221981,-45.6365738689,Solid D,0.0%
210,MI13,MI-13,-45.907759999999996,0.0,-37.70216442,-46.7311406498,Solid D,0.0%
211,MN1,MN-1,13.938310000000001,9.2,6.966904897,12.31017007893,Solid R,99.6%
212,MN2,MN-2,-1.1586940000000001,-7.2,-5.253542471,-3.3815304849900003,Lean D,26.0%
213,MN3,MN-3,-14.353760000000001,-21.0,-15.61003528,-16.8671915432,Solid D,0.0%
214,MN4,MN-4,-32.09563,-37.6,-28.34717408,-34.1604962152,Solid D,0.0%
215,MN5,MN-5,-57.11019,-63.1,-47.57865449,-59.442060898099996,Solid D,0.0%
216,MN6,MN-6,22.85337,17.6,13.40282801,21.0250352269,Solid R,100.0%
217,MN7,MN-7,36.622279999999996,33.2,24.93875685,35.612213826499996,Solid R,100.0%
